1)   Score(precision=0.7777777777777778, recall=0.3888888888888889, fmeasure=0.5185185185185185)
125)   Score(precision=0.125, recall=0.09090909090909091, fmeasure=0.10526315789473685)
126)   Score(precision=0.5625, recall=0.17647058823529413, fmeasure=0.26865671641791045)
127)   Score(precision=0.18181818181818182, recall=0.12903225806451613, fmeasure=0.1509433962264151)
128)   Score(precision=0.44, recall=0.18333333333333332, fmeasure=0.25882352941176473)
129)   Score(precision=0.3333333333333333, recall=0.25882352941176473, fmeasure=0.2913907284768212)
130)   Score(precision=0.25, recall=0.3684210526315789, fmeasure=0.2978723404255319)
131)   Score(precision=0.3877551020408163, recall=0.3064516129032258, fmeasure=0.3423423423423424)
132)   Score(precision=0.2, recall=0.16279069767441862, fmeasure=0.17948717948717952)
133)   Score(precision=0.6153846153846154, recall=0.21052631578947367, fmeasure=0.3137254901960784)
134)   Score(precision=0.3, recall=0.15789473684210525, fmeasure=0.20689655172413793)
135)   Score(precision=0.47368421052631576, recall=0.225, fmeasure=0.30508474576271183)
136)   Score(precision=0.5, recall=0.23529411764705882, fmeasure=0.31999999999999995)
137)   Score(precision=0.37037037037037035, recall=0.2777777777777778, fmeasure=0.3174603174603175)
138)   Score(precision=0.4782608695652174, recall=0.2894736842105263, fmeasure=0.360655737704918)
139)   Score(precision=0.14285714285714285, recall=0.06818181818181818, fmeasure=0.0923076923076923)
140)   Score(precision=0.5238095238095238, recall=0.24444444444444444, fmeasure=0.3333333333333333)
141)   Score(precision=0.34210526315789475, recall=0.22807017543859648, fmeasure=0.2736842105263158)
142)   Score(precision=0.6153846153846154, recall=0.34285714285714286, fmeasure=0.4403669724770642)
143)   Score(precision=0.19230769230769232, recall=0.38461538461538464, fmeasure=0.2564102564102564)
144)   Score(precision=0.2, recall=0.18518518518518517, fmeasure=0.1923076923076923)
145)   Score(precision=0.4444444444444444, recall=0.3333333333333333, fmeasure=0.380952380952381)
146)   Score(precision=0.3870967741935484, recall=0.25, fmeasure=0.3037974683544304)
147)   Score(precision=0.2727272727272727, recall=0.08823529411764706, fmeasure=0.13333333333333333)
148)   Score(precision=0.6666666666666666, recall=0.041666666666666664, fmeasure=0.0784313725490196)
149)   Score(precision=0.6190476190476191, recall=0.2708333333333333, fmeasure=0.37681159420289856)
150)   Score(precision=0.5, recall=0.2647058823529412, fmeasure=0.3461538461538462)
151)   Score(precision=0.32558139534883723, recall=0.208955223880597, fmeasure=0.2545454545454545)
152)   Score(precision=0.3333333333333333, recall=0.1111111111111111, fmeasure=0.16666666666666666)
153)   Score(precision=0.27586206896551724, recall=0.20512820512820512, fmeasure=0.23529411764705882)
154)   Score(precision=0.12244897959183673, recall=0.23076923076923078, fmeasure=0.16)
155)   Score(precision=0.07142857142857142, recall=0.05263157894736842, fmeasure=0.06060606060606061)
156)   Score(precision=0.45714285714285713, recall=0.3333333333333333, fmeasure=0.38554216867469876)
157)   Score(precision=0.32432432432432434, recall=0.3, fmeasure=0.3116883116883117)
158)   Score(precision=0.7333333333333333, recall=0.1864406779661017, fmeasure=0.2972972972972973)
159)   Score(precision=0.5789473684210527, recall=0.3235294117647059, fmeasure=0.4150943396226416)
160)   Score(precision=0.7, recall=0.1891891891891892, fmeasure=0.2978723404255319)
161)   Score(precision=0.375, recall=0.225, fmeasure=0.28125000000000006)
162)   Score(precision=0.35, recall=0.15555555555555556, fmeasure=0.21538461538461537)
163)   Score(precision=0.1276595744680851, recall=0.13953488372093023, fmeasure=0.13333333333333333)
164)   Score(precision=0.4, recall=0.24, fmeasure=0.3)
165)   Score(precision=0.25675675675675674, recall=0.2602739726027397, fmeasure=0.2585034013605442)
166)   Score(precision=0.14814814814814814, recall=0.10526315789473684, fmeasure=0.12307692307692308)
167)   Score(precision=0.30434782608695654, recall=0.14285714285714285, fmeasure=0.19444444444444445)
168)   Score(precision=0.5217391304347826, recall=0.19672131147540983, fmeasure=0.2857142857142857)
169)   Score(precision=0.6451612903225806, recall=0.273972602739726, fmeasure=0.3846153846153846)
170)   Score(precision=0.3888888888888889, recall=0.1590909090909091, fmeasure=0.22580645161290322)
171)   Score(precision=0.4, recall=0.3870967741935484, fmeasure=0.39344262295081966)
172)   Score(precision=0.2903225806451613, recall=0.1836734693877551, fmeasure=0.225)
173)   Score(precision=0.35185185185185186, recall=0.2676056338028169, fmeasure=0.304)
174)   Score(precision=0.6875, recall=0.2619047619047619, fmeasure=0.37931034482758624)
175)   Score(precision=0.43243243243243246, recall=0.2909090909090909, fmeasure=0.34782608695652173)
176)   Score(precision=0.23076923076923078, recall=0.12244897959183673, fmeasure=0.16)
177)   Score(precision=0.4444444444444444, recall=0.32653061224489793, fmeasure=0.3764705882352941)
178)   Score(precision=0.6153846153846154, recall=0.34782608695652173, fmeasure=0.4444444444444444)
179)   Score(precision=0.14285714285714285, recall=0.17857142857142858, fmeasure=0.15873015873015875)
180)   Score(precision=0.26, recall=0.37142857142857144, fmeasure=0.30588235294117644)
181)   Score(precision=0.6153846153846154, recall=0.16666666666666666, fmeasure=0.26229508196721313)
182)   Score(precision=0.2608695652173913, recall=0.15384615384615385, fmeasure=0.1935483870967742)
183)   Score(precision=0.8461538461538461, recall=0.22, fmeasure=0.3492063492063492)
184)   Score(precision=0.3125, recall=0.32608695652173914, fmeasure=0.3191489361702128)
185)   Score(precision=0.2328767123287671, recall=0.20238095238095238, fmeasure=0.2165605095541401)
186)   Score(precision=0.05714285714285714, recall=0.15384615384615385, fmeasure=0.08333333333333333)
187)   Score(precision=0.21428571428571427, recall=0.2, fmeasure=0.20689655172413796)
188)   Score(precision=0.36666666666666664, recall=0.16176470588235295, fmeasure=0.22448979591836735)
189)   Score(precision=0.3541666666666667, recall=0.1827956989247312, fmeasure=0.24113475177304966)
190)   Score(precision=0.6153846153846154, recall=0.3076923076923077, fmeasure=0.4102564102564103)
191)   Score(precision=0.8, recall=0.21621621621621623, fmeasure=0.3404255319148936)
192)   Score(precision=0.7777777777777778, recall=0.3888888888888889, fmeasure=0.5185185185185185)
193)   Score(precision=0.044444444444444446, recall=0.06896551724137931, fmeasure=0.05405405405405405)
194)   Score(precision=0.4782608695652174, recall=0.36666666666666664, fmeasure=0.41509433962264153)
195)   Score(precision=0.6363636363636364, recall=0.2692307692307692, fmeasure=0.37837837837837834)
196)   Score(precision=0.4074074074074074, recall=0.20754716981132076, fmeasure=0.275)
197)   Score(precision=0.5625, recall=0.140625, fmeasure=0.225)
198)   Score(precision=0.08695652173913043, recall=0.07142857142857142, fmeasure=0.0784313725490196)
199)   Score(precision=0.52, recall=0.19696969696969696, fmeasure=0.28571428571428564)
200)   Score(precision=0.43478260869565216, recall=0.18867924528301888, fmeasure=0.26315789473684215)
201)   Score(precision=0.5428571428571428, recall=0.41304347826086957, fmeasure=0.46913580246913583)
202)   Score(precision=0.3333333333333333, recall=0.12244897959183673, fmeasure=0.17910447761194032)
203)   Score(precision=0.21052631578947367, recall=0.17391304347826086, fmeasure=0.1904761904761905)
204)   Score(precision=0.631578947368421, recall=0.2553191489361702, fmeasure=0.3636363636363636)
205)   Score(precision=0.5652173913043478, recall=0.3333333333333333, fmeasure=0.4193548387096774)
206)   Score(precision=0.06666666666666667, recall=0.2222222222222222, fmeasure=0.10256410256410256)
207)   Score(precision=0.46875, recall=0.3, fmeasure=0.36585365853658536)
208)   Score(precision=0.3333333333333333, recall=0.10204081632653061, fmeasure=0.15625)
209)   Score(precision=0.08333333333333333, recall=0.18181818181818182, fmeasure=0.1142857142857143)
210)   Score(precision=0.4482758620689655, recall=0.3611111111111111, fmeasure=0.39999999999999997)
211)   Score(precision=0.5185185185185185, recall=0.25, fmeasure=0.3373493975903614)
212)   Score(precision=0.15384615384615385, recall=0.10526315789473684, fmeasure=0.125)
213)   Score(precision=0.30434782608695654, recall=0.2413793103448276, fmeasure=0.2692307692307692)
214)   Score(precision=0.3157894736842105, recall=0.2222222222222222, fmeasure=0.2608695652173913)
215)   Score(precision=0.25, recall=0.2, fmeasure=0.22222222222222224)
216)   Score(precision=0.21428571428571427, recall=0.23076923076923078, fmeasure=0.22222222222222224)
217)   Score(precision=0.5384615384615384, recall=0.14893617021276595, fmeasure=0.23333333333333334)
218)   Score(precision=0.34375, recall=0.22, fmeasure=0.2682926829268293)
219)   Score(precision=0.38461538461538464, recall=0.11363636363636363, fmeasure=0.17543859649122806)
220)   Score(precision=0.21428571428571427, recall=0.15789473684210525, fmeasure=0.18181818181818182)
221)   Score(precision=0.25, recall=0.08571428571428572, fmeasure=0.1276595744680851)
222)   Score(precision=0.42857142857142855, recall=0.08695652173913043, fmeasure=0.14457831325301204)
223)   Score(precision=0.1875, recall=0.05660377358490566, fmeasure=0.08695652173913045)
224)   Score(precision=0.16666666666666666, recall=0.19047619047619047, fmeasure=0.17777777777777778)
225)   Score(precision=0.25, recall=0.15625, fmeasure=0.19230769230769232)
226)   Score(precision=0.2753623188405797, recall=0.296875, fmeasure=0.2857142857142857)
227)   Score(precision=0.5833333333333334, recall=0.2545454545454545, fmeasure=0.3544303797468354)
228)   Score(precision=0.15873015873015872, recall=0.23809523809523808, fmeasure=0.19047619047619047)
229)   Score(precision=0.3333333333333333, recall=0.27586206896551724, fmeasure=0.3018867924528302)
230)   Score(precision=0.17142857142857143, recall=0.16666666666666666, fmeasure=0.16901408450704225)
231)   Score(precision=0.2894736842105263, recall=0.3333333333333333, fmeasure=0.3098591549295775)
232)   Score(precision=0.21052631578947367, recall=0.06666666666666667, fmeasure=0.10126582278481013)
233)   Score(precision=0.55, recall=0.16923076923076924, fmeasure=0.2588235294117647)
234)   Score(precision=0.5454545454545454, recall=0.1875, fmeasure=0.27906976744186046)
235)   Score(precision=0.41935483870967744, recall=0.21311475409836064, fmeasure=0.28260869565217395)
236)   Score(precision=0.30434782608695654, recall=0.13725490196078433, fmeasure=0.18918918918918923)
237)   Score(precision=0.34615384615384615, recall=0.13432835820895522, fmeasure=0.1935483870967742)
238)   Score(precision=0.8666666666666667, recall=0.26, fmeasure=0.4)
239)   Score(precision=0.40540540540540543, recall=0.3125, fmeasure=0.3529411764705882)
240)   Score(precision=0.23333333333333334, recall=0.2222222222222222, fmeasure=0.22764227642276422)
241)   Score(precision=0.3611111111111111, recall=0.2708333333333333, fmeasure=0.3095238095238095)
242)   Score(precision=0.028169014084507043, recall=0.16666666666666666, fmeasure=0.04819277108433735)
243)   Score(precision=0.4666666666666667, recall=0.25925925925925924, fmeasure=0.33333333333333337)
244)   Score(precision=0.35, recall=0.27450980392156865, fmeasure=0.3076923076923077)
245)   Score(precision=0.4444444444444444, recall=0.13114754098360656, fmeasure=0.20253164556962025)
246)   Score(precision=0.2692307692307692, recall=0.2, fmeasure=0.22950819672131148)
247)   Score(precision=0.5, recall=0.2653061224489796, fmeasure=0.3466666666666667)
248)   Score(precision=0.6363636363636364, recall=0.4375, fmeasure=0.5185185185185185)
249)   Score(precision=0.4230769230769231, recall=0.24444444444444444, fmeasure=0.30985915492957744)
250)   Score(precision=0.5789473684210527, recall=0.16417910447761194, fmeasure=0.2558139534883721)
251)   Score(precision=0.47368421052631576, recall=0.20930232558139536, fmeasure=0.2903225806451613)
252)   Score(precision=0.75, recall=0.16071428571428573, fmeasure=0.26470588235294124)
253)   Score(precision=0.20270270270270271, recall=0.2054794520547945, fmeasure=0.20408163265306123)
254)   Score(precision=0.24615384615384617, recall=0.3902439024390244, fmeasure=0.30188679245283023)
255)   Score(precision=0.38235294117647056, recall=0.28888888888888886, fmeasure=0.3291139240506329)
256)   Score(precision=0.5161290322580645, recall=0.26666666666666666, fmeasure=0.3516483516483517)
257)   Score(precision=0.2916666666666667, recall=0.10606060606060606, fmeasure=0.15555555555555556)
258)   Score(precision=0.5, recall=0.24324324324324326, fmeasure=0.3272727272727273)
259)   Score(precision=0.6, recall=0.26666666666666666, fmeasure=0.36923076923076925)
260)   Score(precision=0.7333333333333333, recall=0.22, fmeasure=0.3384615384615385)
261)   Score(precision=0.3125, recall=0.125, fmeasure=0.17857142857142858)
262)   Score(precision=0.2727272727272727, recall=0.12857142857142856, fmeasure=0.17475728155339804)
263)   Score(precision=0.4642857142857143, recall=0.203125, fmeasure=0.2826086956521739)
264)   Score(precision=0.35294117647058826, recall=0.2926829268292683, fmeasure=0.32)
265)   Score(precision=0.3333333333333333, recall=0.09722222222222222, fmeasure=0.15053763440860216)
266)   Score(precision=0.6296296296296297, recall=0.25757575757575757, fmeasure=0.3655913978494624)
267)   Score(precision=0.4444444444444444, recall=0.15384615384615385, fmeasure=0.2285714285714286)
268)   Score(precision=0.3333333333333333, recall=0.29411764705882354, fmeasure=0.3125)
269)   Score(precision=0.4090909090909091, recall=0.25, fmeasure=0.31034482758620685)
270)   Score(precision=0.38461538461538464, recall=0.1111111111111111, fmeasure=0.1724137931034483)
271)   Score(precision=0.47368421052631576, recall=0.28125, fmeasure=0.35294117647058826)
272)   Score(precision=0.43137254901960786, recall=0.39285714285714285, fmeasure=0.4112149532710281)
273)   Score(precision=0.6666666666666666, recall=0.2857142857142857, fmeasure=0.4)
274)   Score(precision=0.425531914893617, recall=0.35714285714285715, fmeasure=0.3883495145631068)
275)   Score(precision=0.3684210526315789, recall=0.14583333333333334, fmeasure=0.20895522388059704)
276)   Score(precision=0.9411764705882353, recall=0.22857142857142856, fmeasure=0.36781609195402293)
277)   Score(precision=0.3548387096774194, recall=0.24444444444444444, fmeasure=0.2894736842105263)
278)   Score(precision=0.15384615384615385, recall=0.15384615384615385, fmeasure=0.15384615384615385)
279)   Score(precision=0.3888888888888889, recall=0.14, fmeasure=0.20588235294117646)
280)   Score(precision=0.17647058823529413, recall=0.06, fmeasure=0.08955223880597014)
281)   Score(precision=0.4827586206896552, recall=0.4375, fmeasure=0.4590163934426229)
282)   Score(precision=0.3181818181818182, recall=0.18421052631578946, fmeasure=0.23333333333333334)
283)   Score(precision=0.25, recall=0.08955223880597014, fmeasure=0.13186813186813187)
284)   Score(precision=0.06060606060606061, recall=0.045454545454545456, fmeasure=0.05194805194805195)
285)   Score(precision=0.5294117647058824, recall=0.17647058823529413, fmeasure=0.2647058823529412)
286)   Score(precision=0.27906976744186046, recall=0.34285714285714286, fmeasure=0.3076923076923077)
287)   Score(precision=0.2222222222222222, recall=0.08888888888888889, fmeasure=0.12698412698412698)
288)   Score(precision=0.34782608695652173, recall=0.21052631578947367, fmeasure=0.26229508196721313)
289)   Score(precision=0.2222222222222222, recall=0.12, fmeasure=0.15584415584415584)
290)   Score(precision=0.3076923076923077, recall=0.11764705882352941, fmeasure=0.1702127659574468)
291)   Score(precision=0.27631578947368424, recall=0.375, fmeasure=0.3181818181818182)
292)   Score(precision=0.2916666666666667, recall=0.1590909090909091, fmeasure=0.20588235294117646)
293)   Score(precision=0.43478260869565216, recall=0.23255813953488372, fmeasure=0.30303030303030304)
294)   Score(precision=0.6883116883116883, recall=0.6973684210526315, fmeasure=0.6928104575163399)
295)   Score(precision=0.4117647058823529, recall=0.2978723404255319, fmeasure=0.345679012345679)
296)   Score(precision=0.2692307692307692, recall=0.25, fmeasure=0.2592592592592593)
297)   Score(precision=0.09375, recall=0.0967741935483871, fmeasure=0.09523809523809523)
298)   Score(precision=0.34615384615384615, recall=0.20930232558139536, fmeasure=0.2608695652173913)
299)   Score(precision=0.6333333333333333, recall=0.40425531914893614, fmeasure=0.49350649350649345)
300)   Score(precision=0.23529411764705882, recall=0.08333333333333333, fmeasure=0.12307692307692308)
301)   Score(precision=0.2631578947368421, recall=0.09090909090909091, fmeasure=0.13513513513513514)
302)   Score(precision=0.8666666666666667, recall=0.325, fmeasure=0.4727272727272728)
303)   Score(precision=0.6, recall=0.16901408450704225, fmeasure=0.26373626373626374)
304)   Score(precision=0.30952380952380953, recall=0.3023255813953488, fmeasure=0.3058823529411765)
305)   Score(precision=0.6666666666666666, recall=0.35294117647058826, fmeasure=0.46153846153846156)
306)   Score(precision=0.5, recall=0.11764705882352941, fmeasure=0.19047619047619047)
307)   Score(precision=0.12962962962962962, recall=0.30434782608695654, fmeasure=0.18181818181818182)
308)   Score(precision=0.5454545454545454, recall=0.21052631578947367, fmeasure=0.3037974683544304)
309)   Score(precision=0.55, recall=0.25, fmeasure=0.34375)
310)   Score(precision=0.42857142857142855, recall=0.35294117647058826, fmeasure=0.3870967741935484)
311)   Score(precision=0.07692307692307693, recall=0.08695652173913043, fmeasure=0.08163265306122448)
